Symbol Name,Entry Price,Target Price,Profit/Loss,Strategy,Strategy Description,Trading Session,Lots,Event Type,Event Name,Event Impact,Stoploss,Volume,Volatility,Live sentiment,Entry Timestamp,Target Timestamp
XAUUSD,3321.3,3319.62,-2.07,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.01,,,,3319.62,,1.68,,2025-04-29 09:31:00,2025-04-29 09:39:00
XAUUSD,3322.76,3320.93,-2.07,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.01,,,,3320.93,,1.83,,2025-04-29 09:32:00,2025-04-29 09:36:00
XAUUSD,3321.69,3319.81,-2.07,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.01,,,,3319.81,,1.88,,2025-04-29 09:33:00,2025-04-29 09:39:00
XAUUSD,3313.67,3312.68,-2.14,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.02,,,,3312.68,,0.99,,2025-04-30 08:31:00,2025-04-30 08:32:00
XAUUSD,3313.24,3312.23,-2.14,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.02,,,,3312.23,,1.01,,2025-04-30 08:32:00,2025-04-30 08:34:00
XAUUSD,3313.59,3312.57,-2.14,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.02,,,,3312.57,,1.02,,2025-04-30 08:34:00,2025-04-30 08:35:00
XAUUSD,3234.31,3238.67,3.93,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.01,,,,3232.13,,2.18,,2025-05-01 08:36:00,2025-05-01 08:56:00
XAUUSD,3232.72,3237.27,3.93,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.01,,,,3230.44,,2.28,,2025-05-01 08:37:00,2025-05-01 08:48:00
XAUUSD,3234.36,3239.15,3.93,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.01,,,,3231.97,,2.39,,2025-05-01 08:38:00,2025-05-01 09:03:00
XAUUSD,3236.02,3233.59,-2.07,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.01,,,,3233.59,,2.43,,2025-05-01 08:39:00,2025-05-01 08:42:00
