Symbol Name (Lots),Entry Price,Target Price,Profit/Loss,Strategy,Strategy Description,Trading Session,,Lots,Event Type,Event Name,Event Impact,Stoploss,Volumne,Volume,Volatility,Live sentiment,Entry Timestamp,Target Timestamp
XAUUSD,1976.82,1970.72,-6.1,Scalping,Scalp short dips,Tokyo Session,,0.01,,,,1974.32,52389,52562,2.3,Bullish,10-02-2023 09:00,10-02-2023 09:19
XAUUSD,1918.28,1918.7,0.42,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1913.48,48439,48736,2.04,Bullish,01-01-2023 10:00,01-01-2023 10:16
XAUUSD,1952.28,1951.25,-1.03,Scalping,Scalp short dips,Tokyo Session,,0.01,,,,1948.35,3539,3289,1.36,Neutral,16-01-2023 00:00,16-01-2023 02:58
XAUUSD,1917.67,1911.51,-6.16,Scalping,Scalp short dips,Sydney Session,,0.01,,,,1914.28,34784,34909,0.52,Bullish,04-02-2023 13:00,04-02-2023 15:51
XAUUSD,1977.05,1991.34,14.29,Momentum,Follow momentum trend,London Session,,0.01,,,,1975.43,38639,38711,1.99,Bullish,07-01-2023 16:00,07-01-2023 16:12
XAUUSD,1915.36,1911.36,-4,Reversal,Enter on reversal signals,London Session,,0.01,,,,1913.74,40483,40816,1.36,Neutral,02-02-2023 12:00,02-02-2023 14:23
XAUUSD,1914.03,1929.92,15.89,Momentum,Follow momentum trend,New York Session,,0.01,,,,1912.8,58437,58843,2.7,Bullish,31-01-2023 16:00,31-01-2023 18:46
XAUUSD,1940.58,1933.39,-7.19,Momentum,Follow momentum trend,New York Session,,0.01,,,,1936.12,53827,53339,0.57,Bullish,27-01-2023 20:00,27-01-2023 20:15
XAUUSD,1978.06,1979.35,1.29,Scalping,Scalp short dips,Sydney Session,,0.01,,,,1974.66,61183,61357,2.25,Neutral,25-01-2023 15:00,25-01-2023 17:02
XAUUSD,1922.57,1924.99,2.42,Momentum,Follow momentum trend,Tokyo Session,,0.01,,,,1918.74,76723,76275,3.32,Neutral,19-01-2023 06:00,19-01-2023 09:44
XAUUSD,1990.88,1996,5.12,Scalping,Scalp short dips,Sydney Session,,0.01,,,,1989.8,81486,81535,1.02,Bearish,09-01-2023 08:00,09-01-2023 10:49
XAUUSD,1983.61,1988.65,5.04,Momentum,Follow momentum trend,New York Session,,0.01,,,,1978.73,72094,71882,1.91,Bullish,25-01-2023 14:00,25-01-2023 17:49
XAUUSD,1956.71,1962.86,6.15,Scalping,Scalp short dips,Tokyo Session,,0.01,,,,1952.38,95597,95404,0.77,Bearish,12-01-2023 14:00,12-01-2023 17:59
XAUUSD,1905.53,1919.63,14.1,Breakout,"Buy breakout, sell at peak",Tokyo Session,,0.01,,,,1903.68,2805,2658,2.38,Bearish,12-01-2023 19:00,12-01-2023 20:57
XAUUSD,1989.74,2005,15.26,Breakout,"Buy breakout, sell at peak",Tokyo Session,,0.01,,,,1988.01,20382,20503,2.15,Neutral,02-02-2023 22:00,02-02-2023 23:32
XAUUSD,1967.05,1976.95,9.9,Breakout,"Buy breakout, sell at peak",Tokyo Session,,0.01,,,,1965.32,1749,1583,1.72,Bullish,08-02-2023 10:00,08-02-2023 13:07
XAUUSD,1953.07,1959.64,6.57,Momentum,Follow momentum trend,Tokyo Session,,0.01,,,,1950.85,65100,65333,2.06,Bullish,05-02-2023 15:00,05-02-2023 16:03
XAUUSD,1993.47,2001.17,7.7,Reversal,Enter on reversal signals,Sydney Session,,0.01,,,,1990.37,89905,89810,3.19,Neutral,26-01-2023 19:00,26-01-2023 22:33
XAUUSD,1923.8,1914.43,-9.37,Reversal,Enter on reversal signals,London Session,,0.01,,,,1921.07,25105,24673,1.09,Bearish,11-02-2023 06:00,11-02-2023 07:34
XAUUSD,1905.43,1911.58,6.15,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1903.27,92776,93060,0.57,Neutral,11-01-2023 13:00,11-01-2023 16:55
XAUUSD,1962.6,1969.34,6.74,Reversal,Enter on reversal signals,London Session,,0.01,,,,1959.15,6966,6752,3.08,Bullish,08-02-2023 12:00,08-02-2023 12:23
XAUUSD,1922.72,1922.53,-0.19,Momentum,Follow momentum trend,Tokyo Session,,0.01,,,,1921.16,93509,93442,2.23,Neutral,27-01-2023 02:00,27-01-2023 05:17
XAUUSD,1944.18,1946.69,2.51,Scalping,Scalp short dips,New York Session,,0.01,,,,1942.01,35811,35996,3.17,Bullish,21-01-2023 04:00,21-01-2023 05:28
XAUUSD,1972.05,1981.14,9.09,Breakout,"Buy breakout, sell at peak",Sydney Session,,0.01,,,,1969.58,11041,10873,2.29,Bearish,03-02-2023 15:00,03-02-2023 17:14
XAUUSD,1999.48,1997.87,-1.61,Breakout,"Buy breakout, sell at peak",Sydney Session,,0.01,,,,1996.66,49101,48658,2.93,Bullish,03-01-2023 04:00,03-01-2023 07:23
XAUUSD,1904.37,1919.45,15.08,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1900.23,26421,26295,1.79,Bearish,06-02-2023 18:00,06-02-2023 20:37
XAUUSD,1995.7,1994.9,-0.8,Breakout,"Buy breakout, sell at peak",New York Session,,0.01,,,,1993.9,29202,29646,2.75,Bearish,12-01-2023 01:00,12-01-2023 02:14
XAUUSD,1969,1974.36,5.36,Reversal,Enter on reversal signals,London Session,,0.01,,,,1965.94,31422,31564,3.24,Bullish,03-02-2023 19:00,03-02-2023 19:03
XAUUSD,1993.67,2012.43,18.76,Reversal,Enter on reversal signals,London Session,,0.01,,,,1990.3,80500,80671,2.22,Bullish,20-01-2023 07:00,20-01-2023 10:30
XAUUSD,1911.55,1910.67,-0.88,Breakout,"Buy breakout, sell at peak",London Session,,0.01,,,,1910.36,54377,54509,1.04,Bearish,09-01-2023 19:00,09-01-2023 22:59
XAUUSD,1983.2,1990.2,7,Scalping,Scalp short dips,Sydney Session,,0.01,,,,1979.77,31819,31518,1.31,Neutral,29-01-2023 10:00,29-01-2023 12:34
XAUUSD,1929.35,1925.31,-4.04,Reversal,Enter on reversal signals,Tokyo Session,,0.01,,,,1927.67,61423,61341,1.1,Bullish,08-01-2023 06:00,08-01-2023 06:33
XAUUSD,1911.89,1911.6,-0.29,Breakout,"Buy breakout, sell at peak",London Session,,0.01,,,,1910.63,71899,72150,1.24,Bearish,28-01-2023 21:00,28-01-2023 22:09
XAUUSD,1996.52,2008.84,12.32,Breakout,"Buy breakout, sell at peak",New York Session,,0.01,,,,1991.72,27990,27591,1.42,Bearish,16-01-2023 02:00,16-01-2023 05:10
XAUUSD,1997.05,2014.17,17.12,Scalping,Scalp short dips,London Session,,0.01,,,,1992.19,41941,41719,2.17,Neutral,27-01-2023 12:00,27-01-2023 15:09
XAUUSD,1914.02,1929.82,15.8,Momentum,Follow momentum trend,New York Session,,0.01,,,,1909.79,13067,12843,2.26,Bullish,17-01-2023 10:00,17-01-2023 12:05
XAUUSD,1997.13,1995.16,-1.97,Scalping,Scalp short dips,Tokyo Session,,0.01,,,,1994.91,18934,18866,1.78,Bearish,25-01-2023 00:00,25-01-2023 03:29
XAUUSD,1970.85,1967.97,-2.88,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1969.46,68431,68911,2.35,Neutral,27-01-2023 06:00,27-01-2023 06:33
XAUUSD,1977.45,1986.64,9.19,Momentum,Follow momentum trend,Sydney Session,,0.01,,,,1973.71,18962,18530,0.74,Bearish,13-01-2023 13:00,13-01-2023 16:41
XAUUSD,1953.74,1962.64,8.9,Scalping,Scalp short dips,London Session,,0.01,,,,1950.98,52991,53010,0.76,Bullish,26-01-2023 11:00,26-01-2023 13:33
XAUUSD,1974.82,1991.95,17.13,Scalping,Scalp short dips,New York Session,,0.01,,,,1973.33,71196,70875,1.02,Neutral,05-01-2023 20:00,05-01-2023 23:16
XAUUSD,1918.86,1919.45,0.59,Scalping,Scalp short dips,New York Session,,0.01,,,,1915.88,11581,12052,2.05,Bearish,17-01-2023 01:00,17-01-2023 03:17
XAUUSD,1929.55,1934.09,4.54,Momentum,Follow momentum trend,Tokyo Session,,0.01,,,,1928.41,57164,56777,1.14,Neutral,19-01-2023 05:00,19-01-2023 07:35
XAUUSD,1910.5,1913.33,2.83,Breakout,"Buy breakout, sell at peak",Tokyo Session,,0.01,,,,1905.86,26400,26304,1.35,Bullish,29-01-2023 01:00,29-01-2023 04:33
XAUUSD,1993.93,2011.68,17.75,Momentum,Follow momentum trend,London Session,,0.01,,,,1991.89,96330,96568,1.7,Neutral,08-02-2023 13:00,08-02-2023 13:03
XAUUSD,1983.27,1977.01,-6.26,Reversal,Enter on reversal signals,Tokyo Session,,0.01,,,,1979.62,48871,49076,2.94,Bullish,18-01-2023 19:00,18-01-2023 19:08
XAUUSD,1992.12,2011.85,19.73,Breakout,"Buy breakout, sell at peak",Sydney Session,,0.01,,,,1989.87,80793,80716,0.54,Bearish,09-01-2023 06:00,09-01-2023 07:34
XAUUSD,1967.75,1966.57,-1.18,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1964.67,55472,55319,2.45,Bullish,09-02-2023 05:00,09-02-2023 06:38
XAUUSD,1923.91,1915.36,-8.55,Scalping,Scalp short dips,New York Session,,0.01,,,,1920.72,5298,5196,2.51,Bearish,03-01-2023 11:00,03-01-2023 14:31
XAUUSD,1930.14,1934.42,4.28,Scalping,Scalp short dips,Sydney Session,,0.01,,,,1928.4,63682,63446,2.9,Bearish,16-01-2023 20:00,16-01-2023 20:56
XAUUSD,1901.65,1916.05,14.4,Reversal,Enter on reversal signals,Sydney Session,,0.01,,,,1896.77,95189,94894,3.3,Bullish,05-02-2023 13:00,05-02-2023 14:46
XAUUSD,1969.68,1976.24,6.56,Reversal,Enter on reversal signals,Tokyo Session,,0.01,,,,1965.58,60560,60543,0.56,Bearish,30-01-2023 04:00,30-01-2023 05:30
XAUUSD,1937.92,1928.93,-8.99,Momentum,Follow momentum trend,Sydney Session,,0.01,,,,1933.16,82100,81869,0.96,Neutral,09-01-2023 02:00,09-01-2023 03:57
XAUUSD,1954.14,1950.75,-3.39,Scalping,Scalp short dips,New York Session,,0.01,,,,1949.56,88536,88323,3.16,Bearish,01-02-2023 09:00,01-02-2023 10:11
XAUUSD,1963.74,1959.23,-4.51,Reversal,Enter on reversal signals,London Session,,0.01,,,,1960.35,23580,23737,1.88,Bullish,08-01-2023 01:00,08-01-2023 04:46
XAUUSD,1979.52,1984.41,4.89,Momentum,Follow momentum trend,Tokyo Session,,0.01,,,,1974.83,21992,22461,2.19,Neutral,05-01-2023 18:00,05-01-2023 20:06
XAUUSD,1906.81,1910.33,3.52,Reversal,Enter on reversal signals,London Session,,0.01,,,,1905.46,61487,61591,2.49,Neutral,19-01-2023 07:00,19-01-2023 09:55
XAUUSD,1927.83,1924.93,-2.9,Breakout,"Buy breakout, sell at peak",Tokyo Session,,0.01,,,,1926.05,41692,41269,2.54,Bearish,15-01-2023 03:00,15-01-2023 04:56
XAUUSD,1923.85,1920.24,-3.61,Scalping,Scalp short dips,New York Session,,0.01,,,,1922.67,84146,83722,3.3,Bearish,13-01-2023 10:00,13-01-2023 12:44
XAUUSD,1938.53,1953.41,14.88,Breakout,"Buy breakout, sell at peak",Tokyo Session,,0.01,,,,1936.23,90102,90553,3.49,Bullish,07-02-2023 06:00,07-02-2023 06:48
XAUUSD,1911.04,1902.47,-8.57,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1908.49,35989,35786,2.66,Neutral,14-01-2023 02:00,14-01-2023 03:40
XAUUSD,1910.9,1922.03,11.13,Momentum,Follow momentum trend,Tokyo Session,,0.01,,,,1908.81,24450,24042,1.36,Bullish,28-01-2023 13:00,28-01-2023 14:42
XAUUSD,1955.23,1949.14,-6.09,Reversal,Enter on reversal signals,Sydney Session,,0.01,,,,1950.92,78272,78371,3.14,Bearish,20-01-2023 14:00,20-01-2023 14:02
XAUUSD,1924.54,1929.64,5.1,Reversal,Enter on reversal signals,Tokyo Session,,0.01,,,,1922.11,28206,28330,0.65,Neutral,14-01-2023 21:00,14-01-2023 23:11
XAUUSD,1904.93,1923.19,18.26,Breakout,"Buy breakout, sell at peak",Tokyo Session,,0.01,,,,1902.81,82439,82588,1.19,Bullish,15-01-2023 11:00,15-01-2023 12:05
XAUUSD,1998.11,1999.19,1.08,Breakout,"Buy breakout, sell at peak",Sydney Session,,0.01,,,,1994.94,42950,42717,3.19,Bullish,22-01-2023 21:00,22-01-2023 22:43
XAUUSD,1936.88,1930.95,-5.93,Momentum,Follow momentum trend,London Session,,0.01,,,,1935.32,67087,66602,1.27,Bullish,01-02-2023 21:00,01-02-2023 23:00
XAUUSD,1935.52,1932.34,-3.18,Breakout,"Buy breakout, sell at peak",Tokyo Session,,0.01,,,,1931.31,10458,10923,1.16,Bullish,18-01-2023 10:00,18-01-2023 12:11
XAUUSD,1903.94,1914.97,11.03,Scalping,Scalp short dips,London Session,,0.01,,,,1902.64,62762,62513,0.91,Bullish,07-01-2023 13:00,07-01-2023 14:04
XAUUSD,1916.57,1912.51,-4.06,Momentum,Follow momentum trend,London Session,,0.01,,,,1911.62,45725,45901,3.08,Neutral,02-01-2023 13:00,02-01-2023 13:09
XAUUSD,1985.89,1990.28,4.39,Momentum,Follow momentum trend,Sydney Session,,0.01,,,,1981.8,59074,59281,2,Bullish,04-02-2023 07:00,04-02-2023 09:50
XAUUSD,1932.2,1924.29,-7.91,Breakout,"Buy breakout, sell at peak",Sydney Session,,0.01,,,,1930.41,17633,17743,2.52,Neutral,13-01-2023 03:00,13-01-2023 04:12
XAUUSD,1988.22,1998.9,10.68,Reversal,Enter on reversal signals,London Session,,0.01,,,,1987.2,73951,73764,1.22,Bullish,29-01-2023 19:00,29-01-2023 22:22
XAUUSD,1914.3,1904.86,-9.44,Breakout,"Buy breakout, sell at peak",Tokyo Session,,0.01,,,,1910.04,86417,86188,2.77,Bearish,28-01-2023 08:00,28-01-2023 08:58
XAUUSD,1998.68,1998.34,-0.34,Scalping,Scalp short dips,London Session,,0.01,,,,1994.85,22457,22555,2.78,Bearish,03-01-2023 12:00,03-01-2023 13:17
XAUUSD,1964.11,1961.96,-2.15,Breakout,"Buy breakout, sell at peak",London Session,,0.01,,,,1960.19,10476,10842,1.44,Bullish,01-02-2023 08:00,01-02-2023 11:28
XAUUSD,1949.49,1967.98,18.49,Reversal,Enter on reversal signals,Sydney Session,,0.01,,,,1945.4,3340,3787,1.73,Bearish,16-01-2023 20:00,16-01-2023 21:12
XAUUSD,1926.93,1917.64,-9.29,Reversal,Enter on reversal signals,Sydney Session,,0.01,,,,1925.63,64555,64161,1.13,Neutral,20-01-2023 19:00,20-01-2023 19:29
XAUUSD,1981.25,1998.71,17.46,Breakout,"Buy breakout, sell at peak",Tokyo Session,,0.01,,,,1978.82,61102,60757,3.43,Bullish,18-01-2023 06:00,18-01-2023 06:43
XAUUSD,1917.07,1934.5,17.43,Breakout,"Buy breakout, sell at peak",Sydney Session,,0.01,,,,1915.61,55123,55568,2.44,Neutral,06-01-2023 05:00,06-01-2023 07:46
XAUUSD,1913.59,1927.9,14.31,Momentum,Follow momentum trend,Tokyo Session,,0.01,,,,1909.14,23963,24200,3.3,Bullish,12-01-2023 20:00,12-01-2023 20:30
XAUUSD,1974.45,1969.18,-5.27,Breakout,"Buy breakout, sell at peak",New York Session,,0.01,,,,1970.96,39700,40083,1.41,Bearish,10-01-2023 04:00,10-01-2023 06:36
XAUUSD,1901.14,1902.26,1.12,Scalping,Scalp short dips,London Session,,0.01,,,,1898.82,59853,59556,2.85,Neutral,14-01-2023 22:00,15-01-2023 01:06
XAUUSD,1953.16,1950.23,-2.93,Reversal,Enter on reversal signals,London Session,,0.01,,,,1951.91,50180,50268,2.8,Bearish,18-01-2023 16:00,18-01-2023 16:25
XAUUSD,1968.75,1978.34,9.59,Momentum,Follow momentum trend,New York Session,,0.01,,,,1966.51,98791,98992,2.57,Bearish,16-01-2023 10:00,16-01-2023 11:30
XAUUSD,1903.47,1893.82,-9.65,Reversal,Enter on reversal signals,Sydney Session,,0.01,,,,1901.17,14508,14688,3.4,Bullish,11-01-2023 06:00,11-01-2023 07:52
XAUUSD,1939.93,1930.05,-9.88,Scalping,Scalp short dips,New York Session,,0.01,,,,1936.01,69819,69727,1.68,Neutral,06-01-2023 10:00,06-01-2023 12:06
XAUUSD,1905.95,1903.58,-2.37,Scalping,Scalp short dips,London Session,,0.01,,,,1902.4,41028,40543,0.89,Bearish,22-01-2023 13:00,22-01-2023 15:35
XAUUSD,1949.36,1951.49,2.13,Scalping,Scalp short dips,London Session,,0.01,,,,1944.81,43392,43475,2.52,Bullish,05-01-2023 17:00,05-01-2023 17:53
XAUUSD,1959.73,1967.61,7.88,Momentum,Follow momentum trend,Sydney Session,,0.01,,,,1956.84,72042,71795,2.69,Bullish,04-02-2023 06:00,04-02-2023 09:06
XAUUSD,1941.92,1947.63,5.71,Scalping,Scalp short dips,London Session,,0.01,,,,1940.44,69551,69501,2.23,Bullish,03-02-2023 10:00,03-02-2023 12:36
XAUUSD,1951.01,1964.58,13.57,Momentum,Follow momentum trend,Tokyo Session,,0.01,,,,1947.16,99134,99592,1.12,Bearish,11-01-2023 01:00,11-01-2023 03:47
XAUUSD,1911.76,1931.22,19.46,Breakout,"Buy breakout, sell at peak",London Session,,0.01,,,,1907.72,13711,13610,2.01,Bullish,05-02-2023 07:00,05-02-2023 10:28
XAUUSD,1940.53,1935.28,-5.25,Scalping,Scalp short dips,Sydney Session,,0.01,,,,1937.28,11307,11647,1.44,Neutral,23-01-2023 04:00,23-01-2023 05:04
XAUUSD,1903.35,1900.74,-2.61,Breakout,"Buy breakout, sell at peak",New York Session,,0.01,,,,1899.27,72710,72399,1.78,Neutral,05-01-2023 22:00,05-01-2023 23:40
XAUUSD,1901.26,1913.43,12.17,Breakout,"Buy breakout, sell at peak",London Session,,0.01,,,,1898.28,58260,58432,2.44,Bearish,17-01-2023 22:00,18-01-2023 00:22
XAUUSD,1931.36,1925.89,-5.47,Momentum,Follow momentum trend,Tokyo Session,,0.01,,,,1928.27,28142,28619,2.74,Neutral,25-01-2023 06:00,25-01-2023 07:59
XAUUSD,1999.64,1989.84,-9.8,Reversal,Enter on reversal signals,London Session,,0.01,,,,1996.93,8863,8465,1.2,Bullish,09-02-2023 10:00,09-02-2023 11:34
XAUUSD,1995.46,2007.16,11.7,Reversal,Enter on reversal signals,New York Session,,0.01,,,,1994.36,9480,8988,1.72,Bearish,30-01-2023 17:00,30-01-2023 20:33
XAUUSD,1991.48,1992.89,1.41,Breakout,"Buy breakout, sell at peak",Sydney Session,,0.01,,,,1990.05,89525,89459,1.31,Bullish,12-01-2023 18:00,12-01-2023 19:53
XAUUSD,1880.12,1875.93,-4.19,Reversal,Enter on reversal signals,Tokyo Session,,0.01,,,,1878.99,19995,19588,1.1,Bearish,,
XAUUSD,1935.05,1930.84,-4.21,Momentum,Follow momentum trend,London Session,,0.01,,,,1931.5,33014,33262,2.85,Bearish,,
