Symbol Name,Entry Price,Target Price,Profit/Loss,Strategy,Strategy Description,Trading Session,Lots,Event Type,Event Name,Event Impact,Stoploss,Volume,Volatility,Live sentiment,Entry Timestamp,Target Timestamp
XAUUSD,3312.25,3314.06,3.86,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.02,,,,3311.35,,0.9,,2025-06-09 08:38:00,2025-06-09 08:43:00
XAUUSD,3312.8,3314.67,3.86,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.02,,,,3311.86,,0.94,,2025-06-09 08:39:00,2025-06-09 08:44:00
XAUUSD,3313.57,3315.45,3.86,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.02,,,,3312.63,,0.94,,2025-06-09 08:40:00,2025-06-09 08:45:00
XAUUSD,3313.02,3314.92,3.86,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.02,,,,3312.07,,0.95,,2025-06-09 08:41:00,2025-06-09 08:44:00
XAUUSD,3312.79,3314.74,3.86,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.02,,,,3311.81,,0.98,,2025-06-09 08:42:00,2025-06-09 08:44:00
XAUUSD,3313.19,3315.16,3.86,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.02,,,,3312.21,,0.98,,2025-06-09 08:43:00,2025-06-09 08:44:00
XAUUSD,3312.37,3314.97,3.86,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.02,,,,3311.07,,1.3,,2025-06-10 08:31:00,2025-06-10 08:32:00
XAUUSD,3313.09,3315.87,3.93,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.01,,,,3311.7,,1.39,,2025-06-10 08:32:00,2025-06-10 08:34:00
XAUUSD,3314.87,3317.84,3.93,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.01,,,,3313.38,,1.49,,2025-06-10 08:33:00,2025-06-10 08:36:00
XAUUSD,3315.3,3318.36,3.93,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.01,,,,3313.77,,1.53,,2025-06-10 08:34:00,2025-06-10 08:36:00
XAUUSD,3317.07,3315.46,-2.07,Multi TF EMA RSI,M1 + M5 EMA/RSI confirmation,London/NY,0.01,,,,3315.46,,1.61,,2025-06-10 08:35:00,2025-06-10 08:41:00
